datetime,portfolio_value,cash,positions,return
2024-07-15 09:30:00-04:00,100000.0,100000.0,"[{'asset': USD, 'quantity': 100000.0}]",
2024-07-15 09:31:00-04:00,100000.0,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-15 09:32:00-04:00,100000.0,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-15 09:33:00-04:00,100000.0,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-15 09:34:00-04:00,100000.0,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-15 09:35:00-04:00,100000.0,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-15 09:36:00-04:00,100000.0,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-15 09:37:00-04:00,100000.0,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-15 09:38:00-04:00,100000.0,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-15 09:39:00-04:00,100000.0,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-15 09:40:00-04:00,100000.0,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-15 09:41:00-04:00,100000.0,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-15 09:42:00-04:00,100000.0,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
2024-07-15 09:43:00-04:00,100000.0,49979.327392578125,"[{'asset': USD, 'quantity': 49979.327392578125}, {'asset': SPY, 'quantity': 89.0}]",0.0
